Adwords_Id,Title,Keyword_Id,Last_Seen,CPC_Id,Traffic_Id,Position_Id
1,PMP® Exam & Certification | Flat 40% Off - Enroll Now,1,2024-12-31,1,1,1
2,PMP® Exam & Certification | Confidently Ace The PMP Exam,1,2025-01-01,1,1,1
3,PMP® Training & Exam | Special Offer: Get $400 Off,1,2025-01-14,1,1,1
4,CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,2,2025-01-10,2,2,2
5,PMP® Certification | Ace PMP Exam in 1st Attempt,1,2025-01-07,1,1,1
6,ITIL® 4 Certification Course | 100% Money Back Guarantee,8,2025-01-26,8,8,8
7,PMP® Exam & Certification | Flat 40% Off - Enroll Now,1,2025-01-02,1,1,1
8,CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,2,2025-01-17,2,2,2
9,Scrum Alliance CSM® Training | Flash Sale: Enroll @ $270,11,2024-12-28,11,11,11
10,PMP® Certification Course | Ace PMP Exam in 1st Attempt,1,2025-01-26,1,1,1
11,Simplilearn PMP® Course | Special Offer: Get $400 Off,10,2025-01-22,10,10,10
12,Simplilearn® Courses | Online Certification Courses,10,2025-01-25,10,10,10
13,PMP® Certification Course,1,2025-01-26,1,1,1
14,CSM Scrum Master Course Online - Limited-time Offer: $270 Only,2,2025-01-07,2,2,2
15,PMI Certified PMP® Training | Ace PMP Exam in 1st Attempt,11,2025-01-22,11,11,11
16,PMP® Certification | Special Offer: Get $400 Off,11,2024-12-31,11,11,11
17,CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,2,2025-01-07,2,2,2
18,Become a Certified ScrumMaster | Today's Offer: Up To 51% Off,2,2025-01-04,2,2,2
19,PMP® Certification | Confidently Ace The PMP Exam,11,2024-12-31,11,11,11
20,Simplilearn® Courses | Online Certification Courses,10,2025-01-12,10,10,10
21,CAPM® Certification Training | Ace CAPM® Exam in 1st Attempt,11,2025-01-25,11,11,11
22,ITIL Certification Course - 100% Exam Pass Guarantee,8,2025-01-26,8,8,8
23,CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,2,2024-12-29,2,2,2
24,Simplilearn Post Graduate - Online Post Graduate Programs,11,2025-01-21,11,11,11
25,PMP® Certification Course | Ace PMP Exam in 1st Attempt,1,2025-01-14,1,1,1
26,SAFe® Agilist Certification | Special Offer: Get $250 Off,11,2025-01-24,11,11,11
27,PMP® Certification | Ace PMP Exam in 1st Attempt,1,2025-01-19,1,1,1
28,Simplilearn Online Bootcamps | Online Certification Courses,10,2025-01-23,10,10,10
29,CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,11,2025-01-02,11,11,11
30,CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,2,2024-12-30,2,2,2
31,CSPO® Certification | Limited Offer: Enroll @ $270,3,2025-01-07,3,3,3
32,CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,2,2025-01-24,2,2,2
33,PMP® Exam & Certification - Special Offer: Get $400 Off,1,2025-01-07,1,1,1
34,PMP® Exam & Certification,1,2025-01-26,1,1,1
35,CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,2,2024-12-30,2,2,2
36,CSPO® Certification | Special Offer: Flat $279 Off,3,2025-01-03,3,3,3
37,Simplilearn® Courses - Online Certification Courses,11,2025-01-13,11,11,11
38,Simplilearn® Courses - Online Certification Courses,11,2025-01-06,11,11,11
39,Simplilearn® Courses | Online Certification Courses,11,2025-01-06,11,11,11
40,PMP® Exam & Certification | Confidently Ace The PMP Exam,1,2024-12-31,1,1,1
